Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMeans_k5,0,index,0.0,95105.0,7298.25,19233.42,15892.5,25289.75,0.8
KMeans_k5,0,SQLC,11001000100.0,308150004000.0,12148005125.0,38601630807.34,23038003350.0,76160003575.0,0.96
KMeans_k5,0,densidade_hec,0.0,471.8,49.11,98.28,84.39,134.01,0.66
KMeans_k5,0,qd_area,20.61,941792.75,6865.61,15738.12,12257.33,15738.15,1.52
KMeans_k5,0,mobilidade,69.41,3463.68,482.66,778.64,759.98,1074.19,0.51
KMeans_k5,0,ap_h,0.0,1.0,0.0,0.12,0.0,0.0,2.76
KMeans_k5,0,ap_v,0.0,1.0,0.0,0.0,0.0,0.0,143.17
KMeans_k5,0,bp_h,0.0,1.0,0.0,0.01,0.0,0.0,8.16
KMeans_k5,0,bp_v,0.0,1.0,0.0,0.0,0.0,0.0,36.95
KMeans_k5,0,com,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,0,mp_h,0.0,1.0,1.0,0.84,1.0,1.0,0.43
KMeans_k5,0,mp_v,0.0,1.0,0.0,0.01,0.0,0.0,9.9
KMeans_k5,0,outros,0.0,1.0,0.0,0.01,0.0,0.0,8.47
KMeans_k5,0,ter,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,0,equipamentos,254.78,1652.1,578.44,791.02,785.74,976.66,0.31
KMeans_k5,0,fator_com,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,0,qtda_pav,1.0,17.0,1.0,1.74,2.0,2.0,0.34
KMeans_k5,0,aap_h,0.0,55822.22,0.0,1641.91,0.0,0.0,3.43
KMeans_k5,0,aap_v,0.0,7185.06,0.0,0.35,0.0,0.0,143.17
KMeans_k5,0,abp_h,0.0,24421.92,0.0,128.06,0.0,0.0,9.81
KMeans_k5,0,abp_v,0.0,47741.17,0.0,10.89,0.0,0.0,46.33
KMeans_k5,0,acom,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,0,amp_h,0.0,941792.75,4513.45,13631.99,10059.21,14976.29,1.78
KMeans_k5,0,amp_v,0.0,192500.17,0.0,139.67,0.0,0.0,14.61
KMeans_k5,0,aoutros,0.0,46025.57,0.0,185.24,0.0,0.0,10.35
KMeans_k5,0,ater,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,0,vl_m2_terreno,170.0,11461.0,2171.25,3337.29,2972.0,4234.0,0.47
KMeans_k5,0,a_vl_m2_construcao,1485.0,4212.0,2746.0,2688.69,2846.0,2846.0,0.12
KMeans_k5,0,comp_res,-6.09,48.01,0.03,0.38,0.31,0.56,3.6
KMeans_k5,0,densidade_hec_norm,-1.55,3.76,-1.0,-0.45,-0.6,-0.04,-1.65
KMeans_k5,0,mobilidade_norm,-1.44,2.34,-0.98,-0.65,-0.67,-0.32,-0.69
KMeans_k5,0,equipamentos_norm,-1.3,2.34,-0.45,0.1,0.09,0.58,6.5
KMeans_k5,0,fator_com_norm,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.0
KMeans_k5,0,a_vl_m2_construcao_norm,-0.83,3.45,1.15,1.06,1.31,1.31,0.49
KMeans_k5,0,comp_res_norm,-5.69,44.83,0.03,0.35,0.29,0.53,3.6
KMeans_k5,0,aoutros_norm,-0.07,3.87,-0.07,-0.06,-0.07,-0.07,-2.78
KMeans_k5,0,Spectral_k5,0.0,3.0,0.0,0.43,0.0,0.0,1.91
KMeans_k5,0,KMedoids_k5,0.0,4.0,0.0,0.19,0.0,0.0,3.69
KMeans_k5,0,ap_h_pct,0.0,100.0,0.0,11.62,0.0,0.0,2.76
KMeans_k5,0,ap_v_pct,0.0,100.0,0.0,0.0,0.0,0.0,143.17
KMeans_k5,0,bp_h_pct,0.0,100.0,0.0,1.48,0.0,0.0,8.16
KMeans_k5,0,bp_v_pct,0.0,100.0,0.0,0.07,0.0,0.0,36.95
KMeans_k5,0,com_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,0,mp_h_pct,0.0,100.0,100.0,84.44,100.0,100.0,0.43
KMeans_k5,0,mp_v_pct,0.0,100.0,0.0,1.01,0.0,0.0,9.9
KMeans_k5,0,outros_pct,0.0,100.0,0.0,1.38,0.0,0.0,8.47
KMeans_k5,1,index,2867.0,96752.0,72239.0,79200.9,78242.0,92280.0,0.17
KMeans_k5,1,SQLC,12021008600.0,308212000100.0,127056003800.0,201372723898.76,191014001400.0,308048001500.0,0.42
KMeans_k5,1,densidade_hec,0.0,1003.73,187.82,244.71,229.35,286.45,0.4
KMeans_k5,1,qd_area,100.52,941792.75,5049.7,9425.58,7432.23,10512.52,1.83
KMeans_k5,1,mobilidade,292.74,4230.99,2359.42,2763.46,2747.36,3223.32,0.23
KMeans_k5,1,ap_h,0.0,1.0,0.0,0.0,0.0,0.0,28.36
KMeans_k5,1,ap_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,1,bp_h,0.0,1.0,0.0,0.44,0.0,1.0,1.14
KMeans_k5,1,bp_v,0.0,1.0,0.0,0.0,0.0,0.0,33.56
KMeans_k5,1,com,0.0,1.0,0.0,0.01,0.0,0.0,12.19
KMeans_k5,1,mp_h,0.0,1.0,0.0,0.44,0.0,1.0,1.13
KMeans_k5,1,mp_v,0.0,1.0,0.0,0.0,0.0,0.0,43.34
KMeans_k5,1,outros,0.0,1.0,0.0,0.01,0.0,0.0,8.65
KMeans_k5,1,ter,0.0,1.0,0.0,0.1,0.0,0.0,2.98
KMeans_k5,1,equipamentos,107.76,1629.88,479.51,558.31,562.34,640.1,0.27
KMeans_k5,1,fator_com,0.0,1.0,0.0,0.01,0.0,0.0,12.19
KMeans_k5,1,qtda_pav,0.0,11.0,1.0,1.29,1.0,2.0,0.56
KMeans_k5,1,aap_h,0.0,127220.89,0.0,19.76,0.0,0.0,53.76
KMeans_k5,1,aap_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,1,abp_h,0.0,263454.58,0.0,4067.73,0.0,6330.02,2.22
KMeans_k5,1,abp_v,0.0,30617.8,0.0,9.91,0.0,0.0,41.49
KMeans_k5,1,acom,0.0,36430.46,0.0,65.46,0.0,0.0,14.66
KMeans_k5,1,amp_h,0.0,68146.53,0.0,3682.0,0.0,6556.83,1.6
KMeans_k5,1,amp_v,0.0,11840.17,0.0,3.85,0.0,0.0,45.3
KMeans_k5,1,aoutros,0.0,68146.53,0.0,141.8,0.0,0.0,11.65
KMeans_k5,1,ater,0.0,941792.75,0.0,1435.07,0.0,0.0,10.65
KMeans_k5,1,vl_m2_terreno,160.0,9223.0,531.0,773.93,776.0,957.0,0.58
KMeans_k5,1,a_vl_m2_construcao,0.0,2903.0,1332.0,1337.52,1332.0,1590.0,0.37
KMeans_k5,1,comp_res,-31.77,3.29,-0.96,-0.5,-0.2,0.13,-2.39
KMeans_k5,1,densidade_hec_norm,-1.55,9.76,0.56,1.2,1.03,1.67,0.92
KMeans_k5,1,mobilidade_norm,-1.19,3.2,1.11,1.56,1.54,2.07,0.46
KMeans_k5,1,equipamentos_norm,-1.68,2.28,-0.71,-0.51,-0.5,-0.29,-0.76
KMeans_k5,1,fator_com_norm,-0.34,2.9,-0.34,-0.32,-0.34,-0.34,-0.82
KMeans_k5,1,a_vl_m2_construcao_norm,-3.16,1.39,-1.07,-1.06,-1.07,-0.67,-0.72
KMeans_k5,1,comp_res_norm,-29.67,3.07,-0.9,-0.47,-0.19,0.12,-2.39
KMeans_k5,1,aoutros_norm,-0.07,5.76,-0.07,-0.06,-0.07,-0.07,-2.25
KMeans_k5,1,Spectral_k5,0.0,3.0,0.0,0.44,0.0,0.0,1.89
KMeans_k5,1,KMedoids_k5,1.0,4.0,3.0,3.0,3.0,3.0,0.02
KMeans_k5,1,ap_h_pct,0.0,100.0,0.0,0.12,0.0,0.0,28.36
KMeans_k5,1,ap_v_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,1,bp_h_pct,0.0,100.0,0.0,43.66,0.0,100.0,1.14
KMeans_k5,1,bp_v_pct,0.0,100.0,0.0,0.09,0.0,0.0,33.56
KMeans_k5,1,com_pct,0.0,100.0,0.0,0.67,0.0,0.0,12.19
KMeans_k5,1,mp_h_pct,0.0,100.0,0.0,43.94,0.0,100.0,1.13
KMeans_k5,1,mp_v_pct,0.0,100.0,0.0,0.05,0.0,0.0,43.34
KMeans_k5,1,outros_pct,0.0,100.0,0.0,1.32,0.0,0.0,8.65
KMeans_k5,2,index,3.0,96257.0,13448.25,34346.47,28468.5,49541.5,0.74
KMeans_k5,2,SQLC,11001000600.0,308195000400.0,22052004925.0,76771709937.65,76450004150.0,104124003700.0,0.88
KMeans_k5,2,densidade_hec,0.0,785.45,47.3,102.39,84.18,137.88,0.76
KMeans_k5,2,qd_area,20.61,941792.75,6328.32,14561.69,10405.75,15028.95,1.66
KMeans_k5,2,mobilidade,69.41,3940.49,423.93,911.37,758.88,1203.79,0.73
KMeans_k5,2,ap_h,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,ap_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,bp_h,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,bp_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,com,1.0,1.0,1.0,1.0,1.0,1.0,0.0
KMeans_k5,2,mp_h,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,mp_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,outros,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,ter,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,equipamentos,106.07,2382.2,538.67,837.07,800.83,1078.64,0.43
KMeans_k5,2,fator_com,1.0,1.0,1.0,1.0,1.0,1.0,0.0
KMeans_k5,2,qtda_pav,1.0,18.0,1.0,1.91,2.0,2.0,0.47
KMeans_k5,2,aap_h,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,aap_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,abp_h,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,abp_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,acom,20.61,941792.75,6328.32,14561.69,10405.75,15028.95,1.66
KMeans_k5,2,amp_h,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,amp_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,aoutros,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,ater,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,vl_m2_terreno,170.0,11461.0,1294.0,3011.87,2440.5,4367.5,0.66
KMeans_k5,2,a_vl_m2_construcao,1537.0,4360.0,2159.0,2546.39,2665.0,2835.0,0.17
KMeans_k5,2,comp_res,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.0
KMeans_k5,2,densidade_hec_norm,-1.55,7.3,-1.02,-0.4,-0.61,-0.0,-2.2
KMeans_k5,2,mobilidade_norm,-1.44,2.87,-1.05,-0.5,-0.67,-0.18,-1.46
KMeans_k5,2,equipamentos_norm,-1.68,4.24,-0.56,0.22,0.12,0.85,4.24
KMeans_k5,2,fator_com_norm,2.9,2.9,2.9,2.9,2.9,2.9,0.0
KMeans_k5,2,a_vl_m2_construcao_norm,-0.75,3.68,0.23,0.84,1.02,1.29,0.84
KMeans_k5,2,comp_res_norm,-0.19,-0.19,-0.19,-0.19,-0.19,-0.19,-0.0
KMeans_k5,2,aoutros_norm,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.0
KMeans_k5,2,Spectral_k5,0.0,2.0,0.0,0.01,0.0,0.0,13.31
KMeans_k5,2,KMedoids_k5,2.0,3.0,2.0,2.01,2.0,2.0,0.05
KMeans_k5,2,ap_h_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,ap_v_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,bp_h_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,bp_v_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,com_pct,100.0,100.0,100.0,100.0,100.0,100.0,0.0
KMeans_k5,2,mp_h_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,mp_v_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,2,outros_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,3,index,664.0,95491.0,30627.75,53250.75,56513.5,66860.25,0.4
KMeans_k5,3,SQLC,11029000800.0,308159001100.0,76776001675.0,119824750838.72,107094001550.0,107450004725.0,0.59
KMeans_k5,3,densidade_hec,0.0,487.7,106.57,146.46,143.37,177.86,0.39
KMeans_k5,3,qd_area,24.7,271668.11,5173.25,10459.88,7734.39,13456.26,0.87
KMeans_k5,3,mobilidade,82.86,2971.71,649.72,1086.22,1018.3,1505.83,0.49
KMeans_k5,3,ap_h,0.0,1.0,0.0,0.02,0.0,0.0,7.9
KMeans_k5,3,ap_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,3,bp_h,0.0,1.0,0.0,0.13,0.0,0.0,2.63
KMeans_k5,3,bp_v,0.0,1.0,0.0,0.0,0.0,0.0,41.8
KMeans_k5,3,com,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,3,mp_h,0.0,1.0,1.0,0.79,1.0,1.0,0.51
KMeans_k5,3,mp_v,0.0,1.0,0.0,0.0,0.0,0.0,30.32
KMeans_k5,3,outros,0.0,1.0,0.0,0.04,0.0,0.0,4.86
KMeans_k5,3,ter,0.0,1.0,0.0,0.02,0.0,0.0,6.45
KMeans_k5,3,equipamentos,219.3,1223.88,413.2,516.49,511.78,602.98,0.26
KMeans_k5,3,fator_com,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,3,qtda_pav,0.0,11.0,1.0,1.51,1.0,2.0,0.41
KMeans_k5,3,aap_h,0.0,192500.17,0.0,305.8,0.0,0.0,13.61
KMeans_k5,3,aap_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,3,abp_h,0.0,55822.22,0.0,1356.07,0.0,0.0,3.52
KMeans_k5,3,abp_v,0.0,44632.29,0.0,6.06,0.0,0.0,55.36
KMeans_k5,3,acom,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,3,amp_h,0.0,127220.89,2516.81,7987.84,6302.65,10944.4,1.02
KMeans_k5,3,amp_v,0.0,271668.11,0.0,17.11,0.0,0.0,87.21
KMeans_k5,3,aoutros,0.0,55822.22,0.0,474.02,0.0,0.0,6.11
KMeans_k5,3,ater,0.0,106830.01,0.0,312.99,0.0,0.0,9.04
KMeans_k5,3,vl_m2_terreno,169.0,8294.0,987.0,1238.52,1074.0,1230.0,0.66
KMeans_k5,3,a_vl_m2_construcao,0.0,2903.0,1753.0,1850.95,1939.0,2040.0,0.21
KMeans_k5,3,comp_res,-11.68,6.31,-0.07,0.02,0.12,0.36,34.48
KMeans_k5,3,densidade_hec_norm,-1.55,3.94,-0.35,0.1,0.06,0.45,6.75
KMeans_k5,3,mobilidade_norm,-1.43,1.79,-0.8,-0.31,-0.38,0.16,-1.92
KMeans_k5,3,equipamentos_norm,-1.39,1.23,-0.88,-0.62,-0.63,-0.39,-0.57
KMeans_k5,3,fator_com_norm,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.0
KMeans_k5,3,a_vl_m2_construcao_norm,-3.16,1.39,-0.41,-0.26,-0.12,0.04,-2.36
KMeans_k5,3,comp_res_norm,-10.91,5.89,-0.07,0.02,0.11,0.33,34.48
KMeans_k5,3,aoutros_norm,-0.07,4.7,-0.07,-0.03,-0.07,-0.07,-7.22
KMeans_k5,3,Spectral_k5,0.0,3.0,0.0,0.37,0.0,0.0,2.13
KMeans_k5,3,KMedoids_k5,0.0,4.0,1.0,1.23,1.0,1.0,0.56
KMeans_k5,3,ap_h_pct,0.0,100.0,0.0,1.58,0.0,0.0,7.9
KMeans_k5,3,ap_v_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,3,bp_h_pct,0.0,100.0,0.0,12.65,0.0,0.0,2.63
KMeans_k5,3,bp_v_pct,0.0,100.0,0.0,0.06,0.0,0.0,41.8
KMeans_k5,3,com_pct,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,3,mp_h_pct,0.0,100.0,100.0,79.21,100.0,100.0,0.51
KMeans_k5,3,mp_v_pct,0.0,100.0,0.0,0.11,0.0,0.0,30.32
KMeans_k5,3,outros_pct,0.0,100.0,0.0,4.06,0.0,0.0,4.86
KMeans_k5,4,index,72.0,95482.0,33706.25,51745.93,40038.5,82490.75,0.48
KMeans_k5,4,SQLC,11003005100.0,308158008800.0,79754000925.0,121731318627.17,98010001450.0,199019009975.0,0.51
KMeans_k5,4,densidade_hec,0.0,337.17,36.53,72.43,75.66,100.72,0.67
KMeans_k5,4,qd_area,51.96,549393.27,5909.81,17180.9,9291.53,15421.12,1.93
KMeans_k5,4,mobilidade,137.04,4015.06,957.09,1547.07,1530.18,2013.34,0.48
KMeans_k5,4,ap_h,0.0,1.0,0.0,0.08,0.0,0.0,3.42
KMeans_k5,4,ap_v,0.0,0.0,0.0,0.0,0.0,0.0,
KMeans_k5,4,bp_h,0.0,1.0,0.0,0.06,0.0,0.0,4.09
KMeans_k5,4,bp_v,0.0,1.0,0.0,0.0,0.0,0.0,37.71
KMeans_k5,4,com,0.0,1.0,0.0,0.0,0.0,0.0,84.35
KMeans_k5,4,mp_h,0.0,1.0,0.0,0.68,1.0,1.0,0.68
KMeans_k5,4,mp_v,0.0,1.0,0.0,0.0,0.0,0.0,34.42
KMeans_k5,4,outros,0.0,1.0,0.0,0.11,0.0,0.0,2.85
KMeans_k5,4,ter,0.0,1.0,0.0,0.07,0.0,0.0,3.6
KMeans_k5,4,equipamentos,527.63,2754.2,1281.99,1450.21,1418.84,1560.58,0.19
KMeans_k5,4,fator_com,0.0,1.0,0.0,0.0,0.0,0.0,84.35
KMeans_k5,4,qtda_pav,0.0,20.0,1.0,1.41,1.0,2.0,0.51
KMeans_k5,4,aap_h,0.0,94890.83,0.0,1015.21,0.0,0.0,4.53
KMeans_k5,4,aap_v,0.0,0.0,0.0,0.0,0.0,0.0,
